incident_id,opened_at,customer,environment,service,severity,criticality,recent_alerts_1h,error_rate_15m,cpu_p95_30m,failed_signins_30m,sql_dtu_max_30m,vm_heartbeat_gap_min,deployment_within_2h,keyvault_denials_30m,sla_breached
INC-00001,2026-05-14T16:34:00.549743+00:00,fabrikam-clinic,prod,appservice,Sev3,high,17,0.1252,75.06,6,0.0,0,1,1,0
INC-00002,2026-03-06T00:22:00.550009+00:00,northwind-campus,prod,appservice,Sev1,medium,22,0.0428,28.03,9,0.0,0,0,7,0
INC-00003,2026-05-14T12:58:00.550023+00:00,fabrikam-clinic,prod,appservice,Sev3,high,21,0.0386,38.55,14,0.0,0,1,15,1
INC-00004,2026-04-08T18:26:00.550034+00:00,northwind-campus,prod,sql,Sev1,medium,10,0.0147,55.58,7,79.41,0,0,0,0
INC-00005,2026-03-28T20:43:00.550045+00:00,fabrikam-clinic,stage,sql,Sev2,high,23,0.0621,34.26,3,60.48,0,0,0,1
INC-00006,2026-04-01T17:02:00.550056+00:00,northwind-campus,stage,vm,Sev3,medium,11,0.0123,24.64,10,0.0,43,0,0,1
INC-00007,2026-03-14T20:26:00.550065+00:00,contoso-retail,prod,sql,Sev2,high,21,0.0981,29.33,1,14.48,0,0,0,1
INC-00008,2026-05-30T13:18:00.550074+00:00,northwind-campus,prod,sql,Sev3,medium,24,0.0477,80.55,8,50.71,0,0,0,0
INC-00009,2026-03-24T16:38:00.550083+00:00,contoso-retail,prod,appservice,Sev4,high,4,0.124,53.92,17,0.0,0,1,7,0
INC-00010,2026-03-16T15:17:00.550092+00:00,northwind-campus,prod,sql,Sev3,medium,19,0.035,64.3,11,72.07,0,0,0,0
INC-00011,2026-04-24T14:32:00.550101+00:00,fabrikam-clinic,prod,vm,Sev3,high,19,0.026,21.97,16,0.0,11,0,0,1
INC-00012,2026-05-01T06:17:00.550109+00:00,contoso-retail,prod,sql,Sev4,high,16,0.0654,79.35,4,83.14,0,0,0,1
INC-00013,2026-04-19T06:18:00.550118+00:00,fabrikam-clinic,prod,appservice,Sev3,high,23,0.0724,39.65,13,0.0,0,1,9,0
INC-00014,2026-03-25T01:14:00.550126+00:00,northwind-campus,stage,storage,Sev1,medium,9,0.0912,34.4,16,0.0,0,0,0,1
INC-00015,2026-05-08T15:21:00.550135+00:00,contoso-retail,prod,identity,Sev3,high,1,0.0023,60.95,41,0.0,0,0,5,1
INC-00016,2026-03-20T06:50:00.550144+00:00,fabrikam-clinic,stage,vm,Sev2,high,20,0.0162,94.1,13,0.0,49,0,0,1
INC-00017,2026-04-19T18:40:00.550153+00:00,fabrikam-clinic,prod,appservice,Sev3,high,23,0.0025,72.8,16,0.0,0,1,14,1
INC-00018,2026-05-09T03:44:00.550161+00:00,fabrikam-clinic,prod,identity,Sev1,high,12,0.075,69.17,1,0.0,0,0,6,1
INC-00019,2026-04-04T09:31:00.550170+00:00,fabrikam-clinic,stage,sql,Sev3,high,3,0.0113,53.22,7,61.11,0,0,0,0
INC-00020,2026-04-03T05:28:00.550178+00:00,northwind-campus,dev,appservice,Sev4,medium,10,0.045,52.08,4,0.0,0,0,13,1
INC-00021,2026-03-14T11:38:00.550187+00:00,contoso-retail,prod,vm,Sev3,high,13,0.0508,58.52,8,0.0,27,0,0,1
INC-00022,2026-03-08T06:22:00.550196+00:00,fabrikam-clinic,prod,appservice,Sev1,high,10,0.0526,43.82,12,0.0,0,0,11,1
INC-00023,2026-04-27T02:50:00.550205+00:00,contoso-retail,prod,vm,Sev3,high,3,0.0624,38.69,10,0.0,30,0,0,1
INC-00024,2026-05-26T09:54:00.550213+00:00,northwind-campus,prod,appservice,Sev4,medium,20,0.0727,33.64,13,0.0,0,0,11,0
INC-00025,2026-04-23T08:32:00.550223+00:00,northwind-campus,prod,sql,Sev3,medium,2,0.0592,42.17,17,49.9,0,0,0,0
INC-00026,2026-03-23T14:43:00.550231+00:00,fabrikam-clinic,stage,appservice,Sev2,high,21,0.0678,64.92,14,0.0,0,0,5,1
INC-00027,2026-05-26T19:36:00.550240+00:00,contoso-retail,stage,identity,Sev3,high,5,0.0521,66.37,0,0.0,0,0,4,0
INC-00028,2026-05-09T07:53:00.550249+00:00,fabrikam-clinic,prod,sql,Sev2,high,18,0.0251,37.92,4,79.75,0,0,0,0
INC-00029,2026-04-01T21:07:00.550257+00:00,contoso-retail,prod,sql,Sev1,high,20,0.0103,52.01,2,82.43,0,0,0,1
INC-00030,2026-04-28T23:05:00.550265+00:00,northwind-campus,prod,sql,Sev2,medium,18,0.1453,49.46,3,82.54,0,0,0,1
INC-00031,2026-06-02T02:39:00.550274+00:00,northwind-campus,prod,appservice,Sev3,medium,19,0.0118,63.05,9,0.0,0,0,13,1
INC-00032,2026-04-24T15:58:00.550282+00:00,contoso-retail,prod,storage,Sev4,high,16,0.0714,60.75,11,0.0,0,0,0,0
INC-00033,2026-04-03T05:50:00.550290+00:00,contoso-retail,prod,vm,Sev3,high,19,0.1129,38.19,6,0.0,37,0,0,1
INC-00034,2026-03-26T06:40:00.550299+00:00,fabrikam-clinic,dev,identity,Sev3,high,2,0.0643,72.62,47,0.0,0,0,0,1
INC-00035,2026-05-30T10:45:00.550307+00:00,northwind-campus,prod,storage,Sev2,medium,19,0.0315,24.55,6,0.0,0,0,0,1
INC-00036,2026-03-19T05:50:00.550315+00:00,contoso-retail,prod,appservice,Sev2,high,17,0.0234,72.36,15,0.0,0,0,7,0
INC-00037,2026-03-08T15:57:00.550324+00:00,northwind-campus,stage,vm,Sev2,medium,15,0.0329,71.91,6,0.0,24,0,0,1
INC-00038,2026-03-05T21:36:00.550332+00:00,contoso-retail,prod,sql,Sev3,high,22,0.0125,75.17,15,56.44,0,0,0,1
INC-00039,2026-03-18T19:23:00.550340+00:00,contoso-retail,stage,sql,Sev3,high,20,0.0832,55.73,4,44.34,0,0,0,1
INC-00040,2026-03-10T07:35:00.550351+00:00,contoso-retail,dev,appservice,Sev3,high,11,0.1168,83.11,2,0.0,0,1,14,1
INC-00041,2026-03-07T06:44:00.550360+00:00,fabrikam-clinic,prod,storage,Sev4,high,23,0.0019,86.37,17,0.0,0,0,0,0
INC-00042,2026-03-19T06:24:00.550369+00:00,contoso-retail,prod,identity,Sev2,high,4,0.0124,55.55,33,0.0,0,0,9,1
INC-00043,2026-05-09T00:51:00.550378+00:00,contoso-retail,prod,appservice,Sev3,high,9,0.0477,72.57,0,0.0,0,1,13,0
INC-00044,2026-04-11T04:32:00.550387+00:00,fabrikam-clinic,stage,appservice,Sev3,high,12,0.0203,92.02,16,0.0,0,0,0,0
INC-00045,2026-03-21T20:17:00.550395+00:00,northwind-campus,prod,appservice,Sev3,medium,9,0.0098,71.47,4,0.0,0,0,9,0
INC-00046,2026-05-14T08:36:00.550404+00:00,contoso-retail,prod,appservice,Sev3,high,10,0.0151,59.09,1,0.0,0,0,8,1
INC-00047,2026-05-12T19:10:00.550412+00:00,fabrikam-clinic,prod,vm,Sev3,high,19,0.0883,91.33,18,0.0,33,0,0,0
INC-00048,2026-04-03T04:08:00.550420+00:00,contoso-retail,prod,vm,Sev3,high,24,0.0649,88.65,5,0.0,23,0,0,0
INC-00049,2026-03-09T22:52:00.550429+00:00,fabrikam-clinic,prod,sql,Sev4,high,2,0.0984,35.2,10,39.63,0,0,0,0
INC-00050,2026-03-21T10:31:00.550437+00:00,fabrikam-clinic,prod,appservice,Sev1,high,19,0.0001,55.32,9,0.0,0,0,15,1
INC-00051,2026-04-28T13:33:00.550446+00:00,contoso-retail,prod,appservice,Sev4,high,5,0.0416,53.95,2,0.0,0,0,11,1
INC-00052,2026-05-25T03:26:00.550454+00:00,northwind-campus,prod,storage,Sev2,medium,3,0.0511,70.51,10,0.0,0,0,0,0
INC-00053,2026-04-10T09:30:00.550463+00:00,northwind-campus,prod,appservice,Sev3,medium,20,0.0987,78.44,17,0.0,0,1,3,0
INC-00054,2026-05-24T02:52:00.550473+00:00,contoso-retail,prod,appservice,Sev2,high,12,0.0443,86.08,18,0.0,0,1,5,1
INC-00055,2026-03-12T09:28:00.550483+00:00,northwind-campus,prod,appservice,Sev3,medium,22,0.0654,77.19,12,0.0,0,0,11,0
INC-00056,2026-05-10T01:05:00.550492+00:00,contoso-retail,dev,storage,Sev3,high,15,0.0388,80.55,6,0.0,0,0,0,1
INC-00057,2026-04-14T16:08:00.550501+00:00,contoso-retail,prod,appservice,Sev2,high,14,0.0058,46.91,0,0.0,0,1,15,1
INC-00058,2026-03-18T20:15:00.550509+00:00,contoso-retail,prod,appservice,Sev1,high,21,0.0206,68.52,11,0.0,0,0,8,1
INC-00059,2026-03-18T05:01:00.550517+00:00,fabrikam-clinic,prod,sql,Sev3,high,14,0.059,78.54,18,77.07,0,0,0,0
INC-00060,2026-03-14T03:31:00.550526+00:00,fabrikam-clinic,prod,appservice,Sev3,high,0,0.0733,49.76,0,0.0,0,1,2,0
INC-00061,2026-05-15T03:46:00.550534+00:00,fabrikam-clinic,prod,sql,Sev4,high,12,0.1038,85.9,9,26.55,0,0,0,0
INC-00062,2026-04-17T08:12:00.550542+00:00,fabrikam-clinic,dev,appservice,Sev3,high,13,0.0227,53.81,9,0.0,0,1,9,1
INC-00063,2026-04-21T08:46:00.550551+00:00,northwind-campus,prod,appservice,Sev3,medium,14,0.0673,48.67,1,0.0,0,0,1,0
INC-00064,2026-03-17T01:22:00.550560+00:00,northwind-campus,prod,appservice,Sev2,medium,23,0.0545,34.4,10,0.0,0,1,4,1
INC-00065,2026-05-19T13:40:00.550568+00:00,northwind-campus,prod,appservice,Sev2,medium,22,0.0984,30.9,1,0.0,0,0,1,0
INC-00066,2026-05-11T12:15:00.550577+00:00,fabrikam-clinic,stage,appservice,Sev3,high,19,0.0033,52.77,10,0.0,0,0,2,1
INC-00067,2026-05-06T17:11:00.550585+00:00,fabrikam-clinic,prod,vm,Sev4,high,1,0.047,67.22,12,0.0,8,0,0,0
INC-00068,2026-05-04T12:48:00.550593+00:00,contoso-retail,prod,appservice,Sev2,high,1,0.0753,70.49,11,0.0,0,0,1,0
INC-00069,2026-03-27T21:41:00.550602+00:00,northwind-campus,stage,appservice,Sev4,medium,5,0.19,36.41,7,0.0,0,1,5,0
INC-00070,2026-03-28T13:30:00.550610+00:00,fabrikam-clinic,prod,sql,Sev3,high,4,0.0432,73.86,15,59.57,0,0,0,0
INC-00071,2026-05-17T21:45:00.550618+00:00,contoso-retail,dev,vm,Sev3,high,8,0.0022,51.26,14,0.0,32,0,0,0
INC-00072,2026-05-14T23:51:00.550627+00:00,fabrikam-clinic,prod,appservice,Sev3,high,23,0.1464,89.7,12,0.0,0,1,4,1
